Sale Type,Sales_Region,Sales_State,Division,Category,Brand Group,Design_Brand,Sales_Channel, LLY Day Sale, LY Day Sale, TM Day Sale, LLY, LY, LM, LLY MTD, LY MTD, LM MTD, TM MTD, Mth Bud, PBNS_MTD, INV+PBNS
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Ayurvedic Nasal Drops,General Trade,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Dabur Active Blood Purifier,General Trade,,,,0,0,0,0,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Imudab,Modern Trade,,,,0,0,0,,,,,0,,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Juri tap,General Trade,,,,1,5,1,1,5,0,1,2,0,1
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Keratex Oil,Modern Trade,,,,0,0,0,,,,,0,,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care,E-Comm Direct,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care,General Trade,,,,0,0,0,0,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care,Modern Trade,,,,0,0,0,0,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care Double Action,E-Comm Direct,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care Double Action,General Trade,0,,,0,0,0,0,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care Double Action,Modern Trade,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care Kabz Over,General Trade,0,,,1,0,0,1,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Nature Care Kabz Over,Modern Trade,,,,0,0,0,0,,,,0,,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Ratnaprash,General Trade,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Stresscom,General Trade,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Branded,Branded Ethical_NPD,General Trade,,,,0,0,0,,,,,0,,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Classical,Amla Churna,General Trade,,,,0,0,0,0,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Classical,Amla Churna,Modern Trade,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Classical,Ashwagandha Churna,General Trade,,,,0,0,0,0,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Classical,Ashwagandha Churna,Modern Trade,,,,0,0,0,,,,,0,,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Classical,Dabur Immunity Kit,General Trade,0,,,12,0,0,12,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Classical,Dabur Immunity Kit,Modern Trade,,,,0,0,0,,0,0,0,0,0,0
Pri Val,Central,Bihar,HC,Ethical,Ethical Classical,Erand Oil,Modern Trade,,,,0,0,0,,0,0,0,0,0,0
